namespace,source_group,code_samples,successful_parses,parse_success_rate,no_misconception_predictions,completion_lm_files
codeformer_model.setup_model,codeformer_model,30,30,1.0,0,3
easyvolcap.utils.data_utils.add_batch,easyvolcap,240,239,0.9958333333333333,1,24
easyvolcap.utils.data_utils.to_cuda,easyvolcap,240,240,1.0,0,24
easyvolcap.utils.fcds_utils.get_pulsar_camera_params,easyvolcap,240,239,0.9958333333333333,1,24
easyvolcap.utils.fcds_utils.get_pytorch3d_camera_params,easyvolcap,240,239,0.9958333333333333,1,24
easyvolcap.utils.gl_utils.Quad.upload_to_texture,easyvolcap,240,240,1.0,0,24
easyvolcap.utils.loss_utils.inner_outer,easyvolcap,30,30,1.0,0,3
easyvolcap.utils.loss_utils.lossfun_distortion,easyvolcap,240,240,1.0,0,24
easyvolcap.utils.loss_utils.lossfun_outer,easyvolcap,30,30,1.0,0,3
easyvolcap.utils.prop_utils.anneal_weights,easyvolcap,240,240,1.0,0,24
easyvolcap.utils.prop_utils.max_dilate,easyvolcap,240,240,1.0,0,24
easyvolcap.utils.prop_utils.query,easyvolcap,240,240,1.0,0,24
easyvolcap.utils.viewer_utils.Camera.to_batch,easyvolcap,240,240,1.0,0,24
gfpgan_model.gfpgan_fix_faces,gfpgan_model,50,50,1.0,0,5
gfpgan_model.setup_model,gfpgan_model,30,30,1.0,0,3
searcharray.postings.SearchArray.index,searcharray,240,239,0.9958333333333333,1,24
searcharray.postings.SearchArray.phrase_freq,searcharray,240,240,1.0,0,24
searcharray.postings.SearchArray.positions,searcharray,240,239,0.9958333333333333,1,24
searcharray.solr.edismax,searcharray,240,240,1.0,0,24
searcharray.solr.parse_min_should_match,searcharray,30,30,1.0,0,3
searcharray.utils.bitcount.bit_count64,searcharray,70,70,1.0,0,7
xinhua.XinhuaHallucinations.statistics,xinhua,40,40,1.0,0,4
